index	cost	
1	909	
2	908	
3	711	
4	467	
5	600	
6	459	
7	1993	
8	906	
9	682	
10	642	
11	411	
12	778	
13	630	
14	438	
15	880	
16	822	
17	987	
18	1140	
19	857	
20	344	
21	1339	
22	445	
23	1066	
24	412	
25	497	
26	626	
27	511	
28	845	
29	267	
30	398	
31	522	
32	1174	
33	1039	
34	600	
35	551	
36	679	
37	903	
38	1055	
39	319	
40	849	
41	489	
42	716	
43	736	
44	571	
45	700	
46	508	
47	842	
48	139	
49	238	
50	1291	
51	201	
52	258	
53	542	
54	786	
55	274	
56	571	
57	421	
58	539	
59	361	
60	774	
61	319	
62	550	
63	738	
64	753	
65	397	
66	360	
67	723	
68	1363	
69	612	
70	210	
71	825	
72	98	
73	587	
74	479	
75	377	
76	692	
77	1194	
78	1271	
79	324	
80	781	
81	742	
82	1261	
83	423	
84	691	
85	1279	
86	926	
87	395	
88	384	
89	689	
90	807	
91	847	
92	696	
93	311	
94	1395	
95	511	
96	576	
97	532	
98	547	
99	725	
100	613	
101	859	
102	325	
103	550	
104	881	
105	405	
106	463	
107	556	
108	952	
109	940	
110	832	
111	584	
112	552	
113	462	
114	682	
115	289	
116	430	
117	546	
118	1099	
119	568	
120	495	
121	450	
122	519	
123	577	
124	225	
125	381	
126	341	
127	552	
128	928	
129	573	
130	791	
131	905	
132	250	
133	875	
134	312	
135	675	
136	125	
137	1353	
138	285	
139	725	
140	539	
141	428	
142	1096	
143	633	
144	606	
145	406	
146	836	
147	249	
148	461	
149	400	
150	905	
151	566	
152	989	
153	848	
154	172	
155	719	
156	1569	
157	1006	
158	534	
159	1157	
160	602	
161	527	
162	582	
163	499	
164	670	
165	814	
166	654	
167	832	
168	539	
169	528	
170	1024	
171	975	
172	579	
173	801	
174	956	
175	787	
176	196	
177	952	
178	352	
179	435	
180	695	
181	393	
182	741	
183	324	
184	994	
185	853	
186	463	
187	485	
188	398	
189	381	
190	884	
191	496	
192	653	
193	1153	
194	1098	
195	516	
196	398	
197	693	
198	208	
199	53	
200	971	
201	629	
202	340	
203	510	
204	1382	
205	1268	
206	710	
207	340	
208	478	
209	416	
210	789	
211	1035	
212	555	
213	656	
214	833	
215	247	
216	553	
217	1172	
218	494	
219	1828	
220	442	
221	928	
222	608	
223	598	
224	294	
225	686	
226	845	
227	405	
228	924	
229	602	
230	752	
231	293	
232	549	
233	494	
234	1143	
235	394	
236	646	
237	294	
238	606	
239	175	
240	1490	
241	785	
242	540	
243	713	
244	807	
245	379	
246	1359	
247	281	
248	679	
249	204	
250	621	
251	737	
252	91	
253	461	
254	342	
255	842	
256	1036	
257	121	
258	758	
259	660	
260	308	
261	522	
262	858	
263	776	
264	1159	
265	110	
266	234	
267	976	
268	761	
269	537	
270	487	
271	139	
272	489	
273	575	
274	1011	
275	533	
276	1166	
277	432	
278	344	
279	1347	
280	797	
281	617	
282	279	
283	637	
284	620	
285	565	
286	812	
287	344	
288	316	
289	679	
290	478	
291	310	
292	1167	
293	622	
294	449	
295	849	
296	439	
297	898	
298	652	
299	865	
300	695	
301	582	
302	492	
303	834	
304	511	
305	312	
306	977	
307	1157	
308	891	
309	396	
310	606	
311	932	
312	471	
313	1427	
314	914	
315	207	
316	403	
317	982	
318	563	
319	145	
320	449	
321	1060	
322	1000	
323	255	
324	855	
325	293	
326	501	
327	768	
328	1724	
329	364	
330	536	
331	597	
332	310	
333	663	
334	307	
335	918	
336	619	
337	565	
338	447	
339	536	
340	862	
341	1040	
342	138	
343	876	
344	935	
345	540	
346	990	
347	676	
348	320	
349	447	
350	1070	
351	199	
352	393	
353	288	
354	761	
355	456	
356	673	
357	310	
358	542	
359	890	
360	552	
361	997	
362	815	
363	840	
364	667	
365	1302	
366	379	
367	1115	
368	195	
369	531	
370	753	
371	1353	
372	983	
373	355	
374	610	
375	907	
376	1028	
377	734	
378	235	
379	629	
380	1102	
381	1556	
382	693	
383	535	
384	877	
385	507	
386	1175	
387	429	
388	257	
389	685	
390	854	
391	716	
392	903	
393	407	
394	259	
395	497	
396	1224	
397	520	
398	834	
399	311	
400	538	
401	1270	
402	238	
